,fov,peak,birth_label,birth_time,division_time,sb,sd,delta,elong_rate,tau,width,septum_position
f10p0128t0322r01,10,128,1,322,338,1.6953125,3.185546875,1.4912109375,0.85986328125,48.0,0.5103,0.489501953125
f10p0128t0322r02,10,128,2,322,337,2.212890625,4.09765625,1.884765625,0.79638671875,45.0,0.522,0.5244140625
f10p0128t0333r03,10,128,3,333,353,1.8857421875,4.23046875,2.34375,0.7685546875,60.0,0.5264,0.415283203125
f10p0128t0333r04,10,128,4,333,351,1.82421875,3.83984375,2.013671875,0.8623046875,54.0,0.5347,0.440185546875
f10p0128t0337r02,10,128,2,337,355,2.1484375,4.75390625,2.60546875,0.8720703125,54.0,0.545,0.5078125
f10p0128t0338r01,10,128,1,338,357,1.5595703125,3.466796875,1.9072265625,0.93408203125,57.0,0.5156,0.453369140625
f10p0128t0338r02,10,128,2,338,356,1.6259765625,3.771484375,2.146484375,0.865234375,54.0,0.5405,0.482666015625
f10p0128t0356r02,10,128,2,356,373,1.8212890625,3.384765625,1.564453125,0.806640625,51.0,0.5786,0.4814453125
f10p0128t0356r03,10,128,3,356,374,1.951171875,4.0078125,2.056640625,0.84716796875,54.0,0.5435,0.49072265625
f10p0128t0357r01,10,128,1,357,375,1.572265625,3.380859375,1.8076171875,0.82080078125,54.0,0.5073,0.46142578125
f10p0128t0357r02,10,128,2,357,373,1.8955078125,3.845703125,1.951171875,0.8857421875,48.0,0.5327,0.475830078125
f10p0128t0373r02,10,128,2,373,391,1.830078125,3.583984375,1.75390625,0.7822265625,54.0,0.5347,0.52734375
f10p0128t0389r04,10,128,4,389,403,2.193359375,3.541015625,1.3486328125,0.71044921875,42.0,0.5576,0.495849609375
f10p0128t0447r03,10,128,3,447,464,1.755859375,3.33984375,1.583984375,0.78466796875,51.0,0.5283,0.50732421875
f10p0128t0449r01,10,128,1,449,469,1.701171875,3.771484375,2.0703125,0.75146484375,60.0,0.575,0.53466796875
f10p0128t0449r02,10,128,2,449,468,1.8857421875,3.91796875,2.033203125,0.6767578125,57.0,0.543,0.46923828125
f10p0128t0462r03,10,128,3,462,485,1.49609375,4.30078125,2.8046875,0.818359375,69.0,0.5444,0.5595703125
f10p0128t0468r02,10,128,2,468,485,1.8388671875,3.982421875,2.14453125,0.82275390625,51.0,0.5244,0.51025390625
f10p0128t0468r03,10,128,3,468,485,2.080078125,4.09765625,2.01953125,0.82470703125,51.0,0.5166,0.491455078125
f10p0128t0469r01,10,128,1,469,487,2.015625,3.533203125,1.517578125,0.71630859375,54.0,0.5303,0.479736328125
f10p0128t0469r02,10,128,2,469,490,1.7548828125,4.30859375,2.5546875,0.8544921875,63.0,0.5493,0.483642578125
f10p0128t0485r04,10,128,4,485,500,1.951171875,3.380859375,1.4296875,0.80224609375,45.0,0.542,0.442138671875
f10p0128t0490r04,10,128,4,490,500,2.224609375,3.3203125,1.0947265625,0.78271484375,30.0,0.551,0.5498046875
f10p0203t0016r01,10,203,1,16,31,1.9541015625,3.69140625,1.7373046875,0.81640625,45.0,0.5327,0.4404296875
f10p0203t0022r03,10,203,3,22,28,2.806640625,3.642578125,0.83544921875,0.744140625,18.0,0.5527,0.482177734375
f10p0203t0028r04,10,203,4,28,45,1.8857421875,4.171875,2.287109375,0.88720703125,51.0,0.5444,0.51513671875
f10p0203t0031r01,10,203,1,31,48,1.6259765625,3.4609375,1.833984375,0.91796875,51.0,0.554,0.494140625
f10p0203t0031r02,10,203,2,31,45,2.06640625,3.58984375,1.5244140625,0.76953125,42.0,0.5303,0.41796875
f10p0203t0045r02,10,203,2,45,61,1.5009765625,3.2265625,1.7265625,0.87353515625,48.0,0.509,0.509765625
f10p0203t0048r01,10,203,1,48,67,1.7099609375,3.7265625,2.017578125,0.81591796875,57.0,0.5103,0.489501953125
f10p0203t0048r02,10,203,2,48,65,1.75,3.55859375,1.8095703125,0.85791015625,51.0,0.5327,0.5166015625
f10p0203t0061r04,10,203,4,61,83,1.5810546875,3.732421875,2.150390625,0.7802734375,66.0,0.4927,0.5615234375
f10p0203t0065r02,10,203,2,65,82,1.8388671875,3.716796875,1.8779296875,0.80126953125,51.0,0.521,0.509765625
f10p0203t0065r03,10,203,3,65,83,1.720703125,3.623046875,1.9013671875,0.7705078125,54.0,0.548,0.4365234375
f10p0203t0067r01,10,203,1,67,85,1.82421875,3.650390625,1.826171875,0.79248046875,54.0,0.4856,0.51904296875
f10p0203t0067r02,10,203,2,67,85,1.9033203125,4.04296875,2.140625,0.802734375,54.0,0.5317,0.5166015625
f10p0203t0085r01,10,203,1,85,103,1.8955078125,3.70703125,1.8115234375,0.720703125,54.0,0.4998,0.456298828125
f10p0203t0085r02,10,203,2,85,104,1.755859375,3.974609375,2.21875,0.828125,57.0,0.527,0.474365234375
f10p0203t0085r04,10,203,4,85,99,1.9541015625,3.576171875,1.6220703125,0.8818359375,42.0,0.5283,0.47265625
f10p0203t0103r01,10,203,1,103,121,1.69140625,3.529296875,1.837890625,0.77685546875,54.0,0.5264,0.4609375
f10p0203t0119r03,10,203,3,119,140,1.701171875,3.974609375,2.2734375,0.81396484375,63.0,0.4846,0.5732421875
f10p0203t0119r04,10,203,4,119,135,1.8203125,3.578125,1.7578125,0.87353515625,48.0,0.508,0.52734375
f10p0203t0121r01,10,203,1,121,143,1.6259765625,3.51171875,1.8857421875,0.67626953125,66.0,0.508,0.463134765625
f10p0203t0121r02,10,203,2,121,140,1.9033203125,3.6640625,1.7607421875,0.740234375,57.0,0.5254,0.484375
f10p0203t0121r04,10,203,4,121,136,1.9130859375,3.5859375,1.673828125,0.751953125,45.0,0.5474,0.5283203125
f10p0203t0135r04,10,203,4,135,154,1.9541015625,3.384765625,1.431640625,0.78271484375,57.0,0.53,0.403564453125
f10p0203t0140r02,10,203,2,140,158,1.7744140625,3.580078125,1.8056640625,0.79052734375,54.0,0.5454,0.50830078125
f10p0203t0140r03,10,203,3,140,159,1.8896484375,3.923828125,2.03515625,0.7255859375,57.0,0.5425,0.435791015625
f10p0203t0143r01,10,203,1,143,161,1.6259765625,3.38671875,1.7607421875,0.7666015625,54.0,0.515,0.443115234375
f10p0203t0143r02,10,203,2,143,163,1.8857421875,3.724609375,1.8388671875,0.71337890625,60.0,0.5215,0.50634765625
f10p0203t0158r03,10,203,3,158,174,1.8203125,3.64453125,1.82421875,0.8583984375,48.0,0.513,0.4814453125
f10p0203t0161r01,10,203,1,161,181,1.5009765625,3.515625,2.015625,0.94189453125,60.0,0.521,0.51904296875
f10p0203t0161r02,10,203,2,161,178,1.8857421875,3.646484375,1.759765625,0.779296875,51.0,0.5103,0.482666015625
f10p0203t0163r02,10,203,2,163,178,1.8857421875,3.255859375,1.3701171875,0.65869140625,45.0,0.5205,0.4794921875
f10p0203t0163r03,10,203,3,163,181,1.8388671875,3.419921875,1.5810546875,0.79052734375,54.0,0.5166,0.46240234375
f10p0203t0178r03,10,203,3,178,200,1.8857421875,3.79296875,1.9072265625,0.654296875,66.0,0.5396,0.4677734375
f10p0203t0178r04,10,203,4,178,200,1.5615234375,4.04296875,2.484375,0.7939453125,66.0,0.5293,0.57958984375
f10p0203t0181r01,10,203,1,181,199,1.82421875,4.12109375,2.298828125,0.9443359375,54.0,0.495,0.5205078125
