,sb,sd,delta,elong_rate,tau
143,2.150014,3.929378,1.7793642,0.5545265589004907,65.0
144,1.885,3.445,1.56,0.5849902505141027,62.5
145,1.9728308,3.6740565,1.7012258,0.704810518181842,60.0
146,1.8976738,3.739764,1.8420901,0.7013912244943489,62.5
147,1.7111523,3.8706334,2.159481,0.9689585305014143,57.5
148,1.9994397,3.946584,1.9471443,0.8155642875098424,55.0
149,1.9499999,4.095,2.145,0.6788628551564584,70.0
150,2.2749999,4.6944284,2.4194283,0.7213390917655748,65.0
151,2.2749999,4.353492,2.078492,0.8665927585802585,47.5
152,2.21,4.6892285,2.4792287,0.7471286323742974,65.0
153,2.2749999,4.818157,2.543157,0.6640697817497073,70.0
154,2.34,4.447916,2.107916,0.5017041276828412,72.5
155,2.08,4.187269,2.107269,0.8139822048228209,55.0
156,2.145,4.5499997,2.405,0.8322758561537638,57.5
157,2.2749999,4.105972,1.8309717,0.8493789224063646,45.0
158,2.0149999,4.1246524,2.1096525,0.7701779863108733,57.5
159,1.8199999,4.5316124,2.7116125,0.9924037070896321,60.0
160,1.9499999,4.355,2.405,0.8194357631517492,60.0
161,2.21,4.1774592,1.9674594,0.9033134980098365,45.0
162,2.2248547,4.7215786,2.496724,0.7634921413919189,60.0
163,2.0639377,4.1859193,2.1219811,0.8329505977774029,50.0
164,2.0475671,3.965,1.9174327,0.813308790132595,52.5
165,2.5799224,4.7693048,2.1893826,0.7687631384118806,52.5
166,2.5840907,4.386317,1.802226,0.8552619737737309,40.0
167,2.3711014,5.0165825,2.6454809,0.8439433831807795,55.0
168,2.494795,4.181845,1.68705,0.8220427541171782,40.0
170,3.0948324,5.1023083,2.0074759,0.6715540871162541,45.0
171,2.08,3.6783502,1.5983502,0.7601066044398713,50.0
172,2.4699998,4.490977,2.020977,0.8622141504435353,45.0
173,2.4699998,4.0000315,1.5300316,0.8370465289105404,35.0
174,2.1585586,4.3358974,2.1773388,0.6006790272918809,67.5
175,2.21,4.2032666,1.9932667,0.7312475438174502,55.0
176,2.2395518,4.329667,2.0901155,0.7328651639312616,57.5
177,2.145,3.972132,1.8271321,0.6544107537520566,50.0
178,2.4941692,5.1349998,2.6408305,0.7473536946223333,62.5
180,2.4699998,4.167585,1.6975849,0.6836308113614414,50.0
181,2.2749999,4.8301935,2.5551934,0.7625043624486687,65.0
182,2.5349998,4.4342446,1.8992449,0.7630106373837147,47.5
183,2.405,4.7686343,2.3636346,0.5913461356327453,72.5
184,2.4699998,4.4318695,1.9618696,0.653514669817899,57.5
